"","samp_id","meas_yr","Age","LateSuc_sp","Species_Div","MaxHgt","Special_Att","MaxDBH","DBH_CV","Hght_CV","DeadFallen_bio","DeadStand_bio","Live_bio","LargeTreesDen","TreeDen","CExyz","CVHeight","FD","CRugos","MADHeight","FHD","CANCOV","Hght_Max","outlier","SI","BEC","AOI","year","IMAT","Stand_Age","Productivity","Age_Productivity","Old_prod","ogi_cluster","BECsubzone","BECzone","PC1","PC2","PC3"
"1","01001 G000011",2005,-0.613120958246908,0.411899839191362,-0.13960663359812,0.0279238574920378,-0.697109766612233,-0.264374951501513,-0.520717876963206,-0.00181755203561964,-0.380087420880615,-0.116333760293357,-0.183307904031357,-0.367591451756808,0.708053991769689,0.239419008097594,-1.13776585299488,0.256522922231334,-0.00245574503518123,-0.621370632029699,0.0117884995763462,0.716416823028569,0.390670778720123,FALSE,1.03241276776338,"CWHvm1","AOI",2019,-0.475376517572719,"70 - 140yrs","High-Prod","High-Prod_70 - 140yrs","70 - 140yrs","Moderate","CWHvm","CWH",-0.917664541417881,0.148148521399497,0.938166672181945
"2","01001 G000517",2001,-0.600248605808003,0.321664308194024,1.12965100611137,-0.660914006369898,-0.702434111656031,-1.0364708621091,-0.131117181668129,-0.428550500567107,-0.479860058368687,-0.576546428138404,-0.639367005023687,-0.367591451756808,3.65368115985572,-1.28862175263987,0.0285801112450943,-1.14022252295021,-1.14556671334845,-0.525616028187142,0.15729186793333,0.072501267343212,-0.846029298380879,FALSE,-0.355775879827185,"CWHvm1","AOI",2023,-0.7130674098548,"70 - 140yrs","High-Prod","High-Prod_70 - 140yrs","70 - 140yrs","Low","CWHvm","CWH",-2.23547292503869,0.393341753042696,2.38310411713932
"3","01001 G000518",2001,-0.594031471865079,0.411899839191362,0.650485362971513,-0.505369972594623,-0.872411436006333,-0.689221696283076,0.00261095771919162,-0.426127663835029,-0.295942766401564,-0.228494617588446,-0.602290271181295,-0.367591451756808,2.78608225688528,-0.510851795689698,-1.41989637366154,-0.130810757989568,-0.550120453610677,-0.888901259041203,-0.255375201249017,0.762238784009377,-0.076561295296839,FALSE,0.235011152010635,"CWHvm1","AOI",2023,-0.576294939152259,"70 - 140yrs","High-Prod","High-Prod_70 - 140yrs","70 - 140yrs","Moderate","CWHvm","CWH",-1.72717987231319,0.464261323191581,2.03347369422041
"4","01001 G000519",2004,-0.841977410360051,0.335020382320733,-1.39573147583403,-2.29042293163469,-0.760378569181453,-1.52921548847676,-1.92809046844331,-1.77423169518934,-0.488623441549794,-0.63855928329829,-1.05497366886885,-0.367591451756808,-0.976578893316813,-1.87695585319317,0.614193546798572,1.0347330726744,-1.29727602979561,-1.49585167191978,-0.38221517047374,-3.67439326230118,-2.07116422513493,FALSE,-0.24356098371552,"CWHvm1","AOI",2019,-1.712953545822,"<70yrs","High-Prod","High-Prod_<70yrs","<70yrs","Low","CWHvm","CWH",-3.58585635389336,-1.35308232744768,-0.0267437817487577
"6","01001 R000507",1992,-0.491661156619457,0.411899839191362,0.122946509776052,-0.157247611288053,-1.31473379169271,-0.762939396290836,0.771233495736013,0.701424032136756,-0.488623441549794,-0.450053084441265,-0.328047136336673,-0.367591451756808,1.17954516991534,-1.22355392054289,-1.68908791749968,-0.769853050660179,-0.754630030425399,-0.944972357849404,-2.20281657196245,0.772990086032445,0.286584425597533,FALSE,0.78647886153741,"CWHvm1","AOI",2019,-0.551018673562706,"70 - 140yrs","High-Prod","High-Prod_70 - 140yrs","70 - 140yrs","Moderate","CWHvm","CWH",-0.85923345544458,1.10695326807558,1.78780083208032
"7","01003AG000505",2004,-0.762717817139305,0.411899839191362,-1.65104166666667,-2.05340345159618,-0.850885544285332,-1.45355784899511,-1.61798819774755,-1.33620125470066,-0.488623441549794,-0.635972294400342,-1.04534320830332,-0.367591451756808,-0.722246524440834,-1.84351694013496,0.402699163584787,0.806329152850034,-1.4196433969509,-1.51208592508708,-2.12208433135632,-3.45446764784308,-2.20300693909021,FALSE,-1.13879195746095,"CWHvm1","AOI",2019,-1.63898416120661,"<70yrs","Low-Prod","Low-Prod_<70yrs","<70yrs","Low","CWHvm","CWH",-3.32252789418486,-0.929947487170248,0.136202477628521
"8","01003AG000508",2004,-0.830012770997511,0.326870864578495,-1.37571904241093,-2.17932005036664,-0.860162509233479,-1.49041669899899,-1.708222589323,-1.55992838732245,-0.488623441549794,-0.63855928329829,-1.05373872709768,-0.367591451756808,-0.995694054566021,-1.76135167702334,0.715334995912817,0.499590990864032,-1.38911323225441,-1.46066568003101,-0.511424444956768,-3.47286758028327,-2.05034695451041,FALSE,-0.126226355655256,"CWHvm1","AOI",2023,-1.66417516737363,"<70yrs","High-Prod","High-Prod_<70yrs","<70yrs","Low","CWHvm","CWH",-3.40006885650225,-1.13687033620157,0.051614954759152
"9","01003AG000509",2004,-0.834251439816945,0.411899839191362,-1.65104166666667,-2.27560921413229,-0.877646020097296,-1.53503530689842,-1.90564661736178,-1.83361443135615,-0.488623441549794,-0.63855928329829,-1.05488628034221,-0.367591451756808,-0.985191669045158,-1.99286411834904,0.801217727640401,1.10570899862055,-1.36087434795228,-1.44060620449776,-1.885368413601,-3.64526338154072,-2.21996915959907,FALSE,-0.306289464938518,"CWHvm1","AOI",2019,-1.76059127022487,"<70yrs","High-Prod","High-Prod_<70yrs","<70yrs","Low","CWHvm","CWH",-3.62564484980241,-1.34808438165895,0.0141053298551735
"10","01003AG000511",2004,-0.810018895785952,0.241912778861639,0.169585363517925,-1.99414858158655,-0.326535351563948,-1.40699930162179,-1.44575854881873,-1.00212242569405,-0.488623441549794,-0.63855928329829,-1.04298960317392,-0.367591451756808,-0.391601855502293,-0.747109728940555,0.0244754701594283,0.402194361556765,-1.08725244228152,-1.15988446303032,-0.476878198504305,-0.178102045063754,-1.49907478797224,FALSE,-0.0613904117757835,"CWHvm1","AOI",2019,-1.26445891747848,"<70yrs","High-Prod","High-Prod_<70yrs","<70yrs","Low","CWHvm","CWH",-2.90574199608861,-0.824839628611684,0.353778963953682
"11","01003AG000512",2004,-0.796340001190409,0.368618059105954,-1.32443726005703,-2.19413376786905,-0.104648201812813,-1.438038333204,-1.38432357857131,-1.49000187071559,-0.488623441549794,-0.63855928329829,-1.04378908635869,-0.367591451756808,-0.445168559991923,-2.23765527211246,0.281365819534981,0.286157726600977,-1.44763419795271,-1.62935075277474,-2.01861037448912,-4.37737003826071,-2.3402467232074,FALSE,-0.928361740179461,"CWHvm1","AOI",2019,-1.4956182958942,"<70yrs","Low-Prod","Low-Prod_<70yrs","<70yrs","Low","CWHvm","CWH",-3.31318942390702,-0.908216937857285,-0.168085365315865
