"","samp_id","meas_yr","Age","LateSuc_sp","Species_Div","MaxHgt","Special_Att","MaxDBH","DBH_CV","Hght_CV","DeadFallen_bio","DeadStand_bio","Live_bio","LargeTreesDen","TreeDen","CExyz","CVHeight","FD","CRugos","MADHeight","FHD","CANCOV","Hght_Max","outlier","SI","BEC","AOI","year","IMAT","Stand_Age","Productivity","Age_Productivity","Old_prod","ogi_cluster","BECsubzone","BECzone","PC1","PC2","PC3"
"1","01001 G000011",2005,-0.623601551577408,0.409764467321791,-0.125949596036185,0.0460394198586835,-0.671742902406518,-0.243196814117831,-0.529260908817129,-0.0189530647365057,-0.361546051108681,-0.12892005721402,-0.174883554580273,-0.36502906595568,0.708276573079887,0.452941909587888,-1.11478895464792,0.142376700332336,-0.440094170321505,-0.444088786570119,0.699493943376417,0.434039087947883,0.657830997361004,FALSE,1.06455698234634,"CWHvm1","AOI",2019,-0.465782206172378,"70 - 140yrs","High-Prod","High-Prod_70 - 140yrs","70 - 140yrs","Moderate","CWHvm","CWH",-0.951013036334772,0.0427102819836871,0.888600918827807
"2","01001 G000517",2001,-0.610353613038157,0.317861035774899,1.16345499033536,-0.645667534399405,-0.677162402026286,-1.02014601959942,-0.137013523744023,-0.446073553028723,-0.468856933729369,-0.538918893159935,-0.629404436429166,-0.36502906595568,3.66967237587123,-0.924122207139271,0.115787148832305,-1.12804466477787,-0.498100855130785,-0.665467625899281,0.0982633559825642,-0.75858750370151,-0.710339943812927,FALSE,-0.340913959982055,"CWHvm1","AOI",2023,-0.699366088376997,"70 - 140yrs","High-Prod","High-Prod_70 - 140yrs","70 - 140yrs","Low","CWHvm","CWH",-2.2890847888672,0.231677803838027,2.32541444528366
"3","01001 G000518",2001,-0.603955077202764,0.409764467321791,0.67668354333614,-0.489475641502417,-0.850177493480362,-0.670714090500918,-0.00237692371013449,-0.443648515984785,-0.271043911771738,-0.228843036616156,-0.592452756865152,-0.36502906595568,2.79742901201318,-0.323118940632435,-1.46782317380061,-0.434041255053992,-0.839655202052393,-0.665467625899281,0.731216945661965,-0.0501184483269174,0.390022079373057,FALSE,0.257228092104082,"CWHvm1","AOI",2023,-0.565284331130946,"70 - 140yrs","High-Prod","High-Prod_70 - 140yrs","70 - 140yrs","Low","CWHvm","CWH",-1.78408284556133,0.306515036980796,1.99693863366311
"4","01001 G000519",2004,-0.859135516817709,0.331463981650792,-1.4020129278314,-2.28196355522499,-0.736142419839467,-1.51598797485652,-1.9461942600616,-1.79297683507115,-0.478282427608092,-0.594165521959377,-1.04360932115167,-0.36502906595568,-0.985374547873423,-1.48447730862023,0.465032870150186,-1.32072449020444,-1.49773955953582,-0.665467625899281,-3.0626921756635,-1.92974533609713,-1.70897840732922,FALSE,-0.227302041274114,"CWHvm1","AOI",2019,-1.69622512972918,"<70yrs","High-Prod","High-Prod_<70yrs","<70yrs","Low","CWHvm","CWH",-3.57648780528758,-1.3810451792243,-0.188216742021489
"5","01001 R000503",1994,-0.483659150027622,0.409764467321791,-1.66137566137566,-0.110152473038304,-1.09051288270304,-0.854214656619686,0.393053909406763,0.676656542225296,-0.478282427608092,0.266897853706288,-0.540773749338679,-0.36502906595568,1.52455582288971,-0.865997811950276,-0.0509539359538057,-1.13585253951028,-1.06176640240718,-0.665467625899281,-0.117173003441626,-1.34860823215872,-1.14341502883469,FALSE,0.600033805845356,"CWHvm1","AOI",2023,-0.669627681630987,"70 - 140yrs","High-Prod","High-Prod_70 - 140yrs","70 - 140yrs","Low","CWHvm","CWH",-1.38378344324674,1.22800933427365,1.25915568486615
"6","01001 R000507",1992,-0.498597827931154,0.409764467321791,0.140771057550275,-0.139903309780588,-1.3004048582996,-0.744895170421271,0.771467128126088,0.684927171961303,-0.478282427608092,-0.426227245810073,-0.319134603100956,-0.36502906595568,1.18229175434294,-0.895759471648133,-1.8523317886389,-0.677655713729158,-0.894271863714179,-0.371784212084496,0.763618822705445,0.334098312111342,1.07112024232709,FALSE,0.815561314838291,"CWHvm1","AOI",2019,-0.54592501695416,"70 - 140yrs","High-Prod","High-Prod_70 - 140yrs","70 - 140yrs","Low","CWHvm","CWH",-0.905938555305173,0.999086328253459,1.80358714105094
"7","01003AG000505",2004,-0.777563308115521,0.409764467321791,-1.66137566137566,-2.04395686128672,-0.82826689958806,-1.43985476125405,-1.63398535937286,-1.35454859494528,-0.478282427608092,-0.591860799575853,-1.03401134268938,-0.36502906595568,-0.729680678036973,-1.49214371458573,0.28112942713548,-1.41486717674595,-1.52007818875125,-0.665467625899281,-2.87514641366043,-2.05633698549008,-1.68324193732668,FALSE,-1.13367821893226,"CWHvm1","AOI",2019,-1.62395976607724,"<70yrs","Low-Prod","Low-Prod_<70yrs","<70yrs","Low","CWHvm","CWH",-3.31864312911986,-0.959989067440981,0.00303932351920799
"8","01003AG000508",2004,-0.84682177636727,0.323163829397174,-1.38168283673491,-2.17039791744143,-0.837709658762291,-1.47694530121423,-1.72483274380149,-1.57847890653356,-0.478282427608092,-0.594165521959377,-1.04237854465441,-0.36502906595568,-1.0045920370745,-1.38533188456112,0.591242076459899,-1.38438228974342,-1.45640416489298,-0.665467625899281,-2.88407951389442,-1.91493929523245,-1.68142892312902,FALSE,-0.108506652366532,"CWHvm1","AOI",2023,-1.6486796803488,"<70yrs","High-Prod","High-Prod_<70yrs","<70yrs","Low","CWHvm","CWH",-3.39351643844204,-1.16519961026479,-0.0939964070342099
"9","01003AG000509",2004,-0.851184119946241,0.409764467321791,-1.66137566137566,-2.26708813685385,-0.855505627975264,-1.52184437590286,-1.92359794028082,-1.85241349998061,-0.478282427608092,-0.594165521959377,-1.04352222737347,-0.36502906595568,-0.994033429814982,-1.69041351846322,0.527936307914486,-1.36734327040688,-1.46966533312124,-0.665467625899281,-3.03026327708474,-2.07262363044122,-1.70739541303886,FALSE,-0.290811462539256,"CWHvm1","AOI",2019,-1.74488872427922,"<70yrs","High-Prod","High-Prod_<70yrs","<70yrs","Low","CWHvm","CWH",-3.61807140502567,-1.37812888194773,-0.145583527465691
"10","01003AG000511",2004,-0.826244525144438,0.236635390668706,0.188150210557892,-1.98445518780216,-0.294545728870672,-1.3930035528833,-1.46058569597334,-1.02016637050155,-0.478282427608092,-0.594165521959377,-1.0316656759181,-0.36502906595568,-0.397265990455802,-0.543034052371963,0.0222079549504794,-1.05799855664014,-1.14651448364654,-0.665467625899281,-0.198878392908426,-1.38044122001777,-1.21790292439933,FALSE,-0.0428635315275909,"CWHvm1","AOI",2019,-1.24511246957236,"<70yrs","High-Prod","High-Prod_<70yrs","<70yrs","Low","CWHvm","CWH",-2.90405558302318,-0.869393441527621,0.227787373324477
